Country,Demographic.Pressures,Refugees.and.IDPs,Group.Grievance,Human.Flight,Uneven.Development,Poverty.and.Economic.Decline,Legitimacy.of.the.State,Public.Services,Human.Rights,Security.Apparatus,Factionalized.Elites,External.Intervention,HDI,Tourism,Natural.Resources,B.O.P,ICT,Legal.Rights.Index,Total
Croatia,(3.45-5.35],(3.45-7.25],(4.65-8.05],(3.15-4.95],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(3.85-7.95],(2.5-4.55],(2.75-5.55],(4.2-5.75],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Cuba,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(3.2-5.35],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Cyprus,(3.45-5.35],(3.45-7.25],(4.65-8.05],(3.15-4.95],(5.45-7.25],(5.35-7.15],(4.95-7.35],(2.55-4.75],(2.15-3.85],(4.55-7.65],(5.55-8.45],(7.95-inf),(1.185-2.285],(5.095-7.41],All,(5.155-inf),(2.335-4.615],All,Warning
Czech Republic,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(-inf-2.5],(2.75-5.55],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Denmark,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(-inf-3.2],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Sustainable
Dijbouti,(5.35-8.25],(7.25-inf),(4.65-8.05],(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(7.95-inf),(4-5.685],(5.095-7.41],All,(5.155-inf),(7.45-inf),All,Alert
Dominican Republic,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Ecuador,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Egypt,(5.35-8.25],(3.45-7.25],(8.05-inf),(4.95-inf),(5.45-7.25],(7.15-inf),(7.35-inf),(4.75-8.05],(7.95-inf),(7.65-inf),(8.45-inf),(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
El Salvador,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(2.75-5.55],(4.2-5.75],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Equatorial Guinea,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(3.2-5.35],(7.35-inf),(4.75-8.05],(7.95-inf),(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(5.095-7.41],All,(5.155-inf),(7.45-inf),All,Warning
Eritrea,(8.25-inf),(7.25-inf),(4.65-8.05],(4.95-inf),(5.45-7.25],(7.15-inf),(7.35-inf),(8.05-inf),(7.95-inf),(4.55-7.65],(5.55-8.45],(7.95-inf),(5.685-inf),(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Estonia,(3.45-5.35],(-inf-3.45],(4.65-8.05],(3.15-4.95],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(2.5-4.55],(2.75-5.55],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Stable
Ethiopia,(8.25-inf),(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(4.95-7.35],(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(7.95-inf),(4-5.685],(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Fiji,(3.45-5.35],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Finland,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(3.2-5.35],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(5.155-inf),(-inf-2.335],All,Sustainable
France,(-inf-3.45],(-inf-3.45],(4.65-8.05],(-inf-3.15],(3.15-5.45],(3.2-5.35],(1.9-4.95],(-inf-2.55],(2.15-3.85],(2.5-4.55],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(5.155-inf),(-inf-2.335],All,Stable
Gabon,(5.35-8.25],(3.45-7.25],(-inf-4.65],(4.95-inf),(5.45-7.25],(3.2-5.35],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(4.2-5.75],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Gambia,(5.35-8.25],(3.45-7.25],(-inf-4.65],(4.95-inf),(5.45-7.25],(7.15-inf),(7.35-inf),(4.75-8.05],(7.95-inf),(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Georgia,(3.45-5.35],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(8.45-inf),(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Germany,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(3.15-5.45],(-inf-3.2],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Sustainable
Ghana,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(1.9-4.95],(4.75-8.05],(3.85-7.95],(2.5-4.55],(2.75-5.55],(5.75-7.95],(4-5.685],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Greece,(3.45-5.35],(-inf-3.45],(4.65-8.05],(3.15-4.95],(3.15-5.45],(5.35-7.15],(4.95-7.35],(2.55-4.75],(2.15-3.85],(2.5-4.55],(2.75-5.55],(4.2-5.75],(1.185-2.285],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Stable
Grenada,(5.35-8.25],(3.45-7.25],(-inf-4.65],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(2.55-4.75],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Guatemala,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(4.2-5.75],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Guinea,(5.35-8.25],(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(5.75-7.95],(5.685-inf),(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Guinea Bissau,(8.25-inf),(7.25-inf),(4.65-8.05],(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(3.85-7.95],(7.65-inf),(8.45-inf),(7.95-inf),(5.685-inf),(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Guyana,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(2.75-5.55],(5.75-7.95],(2.285-4],(7.41-inf),All,(5.155-inf),(4.615-7.45],All,Warning
Haiti,(8.25-inf),(7.25-inf),(4.65-8.05],(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(3.85-7.95],(4.55-7.65],(8.45-inf),(7.95-inf),(4-5.685],(5.095-7.41],All,(5.155-inf),(7.45-inf),All,Alert
Honduras,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Hungary,(-inf-3.45],(-inf-3.45],(-inf-4.65],(3.15-4.95],(3.15-5.45],(5.35-7.15],(4.95-7.35],(2.55-4.75],(3.85-7.95],(2.5-4.55],(2.75-5.55],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Iceland,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(3.2-5.35],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(-inf-2.75],(4.2-5.75],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Sustainable
India,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(7.65-inf),(5.55-8.45],(4.2-5.75],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Indonesia,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(4.2-5.75],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Iran,(3.45-5.35],(3.45-7.25],(8.05-inf),(4.95-inf),(5.45-7.25],(5.35-7.15],(7.35-inf),(4.75-8.05],(7.95-inf),(7.65-inf),(8.45-inf),(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Iraq,(5.35-8.25],(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(5.35-7.15],(7.35-inf),(4.75-8.05],(7.95-inf),(7.65-inf),(8.45-inf),(5.75-7.95],(2.285-4],(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Ireland,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(3.2-5.35],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Sustainable
Israel/West Bank,(5.35-8.25],(3.45-7.25],(8.05-inf),(3.15-4.95],(5.45-7.25],(3.2-5.35],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Warning
Italy,(3.45-5.35],(-inf-3.45],(-inf-4.65],(-inf-3.15],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(4.55-7.65],(2.75-5.55],(-inf-2.25],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Jamaica,(5.35-8.25],(-inf-3.45],(-inf-4.65],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(2.75-5.55],(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Japan,(3.45-5.35],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(3.2-5.35],(1.9-4.95],(-inf-2.55],(2.15-3.85],(-inf-2.5],(-inf-2.75],(2.25-4.2],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Stable
Jordan,(5.35-8.25],(7.25-inf),(4.65-8.05],(3.15-4.95],(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Kazakhstan,(3.45-5.35],(3.45-7.25],(4.65-8.05],(3.15-4.95],(3.15-5.45],(5.35-7.15],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(4.2-5.75],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Warning
Kenya,(8.25-inf),(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(3.85-7.95],(7.65-inf),(8.45-inf),(7.95-inf),(4-5.685],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Alert
Kuwait,(5.35-8.25],(3.45-7.25],(4.65-8.05],(3.15-4.95],(3.15-5.45],(3.2-5.35],(4.95-7.35],(2.55-4.75],(3.85-7.95],(2.5-4.55],(5.55-8.45],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Kyrgyzstan,(5.35-8.25],(3.45-7.25],(8.05-inf),(4.95-inf),(5.45-7.25],(7.15-inf),(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(5.095-7.41],All,(-inf-5.155],(4.615-7.45],All,Warning
Laos,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(7.35-inf),(4.75-8.05],(7.95-inf),(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(5.095-7.41],All,(5.155-inf),(7.45-inf),All,Warning
Latvia,(3.45-5.35],(-inf-3.45],(4.65-8.05],(3.15-4.95],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(2.5-4.55],(2.75-5.55],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Stable
Lebanon,(5.35-8.25],(7.25-inf),(8.05-inf),(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(7.65-inf),(8.45-inf),(7.95-inf),(2.285-4],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Warning
Lesotho,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(7.15-inf),(4.95-7.35],(8.05-inf),(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Liberia,(8.25-inf),(7.25-inf),(4.65-8.05],(4.95-inf),(7.25-inf),(7.15-inf),(4.95-7.35],(8.05-inf),(3.85-7.95],(4.55-7.65],(5.55-8.45],(7.95-inf),(5.685-inf),(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Libya,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(7.35-inf),(4.75-8.05],(7.95-inf),(7.65-inf),(5.55-8.45],(7.95-inf),(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Lithuania,(3.45-5.35],(-inf-3.45],(-inf-4.65],(3.15-4.95],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(2.5-4.55],(2.75-5.55],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Luxembourg,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(-inf-3.2],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(2.75-5.55],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Sustainable
Macedonia,(3.45-5.35],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(2.55-4.75],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(5.095-7.41],All,(-inf-5.155],(4.615-7.45],All,Warning
Madagascar,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(7.15-inf),(4.95-7.35],(8.05-inf),(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(5.095-7.41],All,(5.155-inf),(7.45-inf),All,Warning
Malawi,(8.25-inf),(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(3.85-7.95],(4.55-7.65],(5.55-8.45],(7.95-inf),(4-5.685],(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Malaysia,(5.35-8.25],(3.45-7.25],(4.65-8.05],(3.15-4.95],(5.45-7.25],(3.2-5.35],(4.95-7.35],(2.55-4.75],(3.85-7.95],(4.55-7.65],(5.55-8.45],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Stable
Maldives,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(3.15-5.45],(5.35-7.15],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(-inf-5.095],All,(-inf-5.155],(4.615-7.45],All,Warning
Mali,(8.25-inf),(7.25-inf),(4.65-8.05],(4.95-inf),(5.45-7.25],(7.15-inf),(4.95-7.35],(8.05-inf),(3.85-7.95],(7.65-inf),(2.75-5.55],(7.95-inf),(5.685-inf),(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Malta,(-inf-3.45],(3.45-7.25],(-inf-4.65],(3.15-4.95],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(2.5-4.55],(-inf-2.75],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Stable
Mauritania,(8.25-inf),(7.25-inf),(4.65-8.05],(4.95-inf),(5.45-7.25],(7.15-inf),(7.35-inf),(8.05-inf),(3.85-7.95],(7.65-inf),(8.45-inf),(7.95-inf),(4-5.685],(7.41-inf),All,(-inf-5.155],(7.45-inf),All,Alert
Mauritius,(3.45-5.35],(-inf-3.45],(-inf-4.65],(3.15-4.95],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(2.5-4.55],(2.75-5.55],(4.2-5.75],(1.185-2.285],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Stable
Mexico,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(3.2-5.35],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(2.75-5.55],(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Micronesia,(5.35-8.25],(3.45-7.25],(-inf-4.65],(4.95-inf),(7.25-inf),(7.15-inf),(4.95-7.35],(4.75-8.05],(2.15-3.85],(4.55-7.65],(5.55-8.45],(7.95-inf),(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Moldova,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(5.095-7.41],All,(-inf-5.155],(2.335-4.615],All,Warning
Mongolia,(5.35-8.25],(-inf-3.45],(-inf-4.65],(-inf-3.15],(5.45-7.25],(3.2-5.35],(1.9-4.95],(4.75-8.05],(3.85-7.95],(2.5-4.55],(2.75-5.55],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Stable
Montenegro,(3.45-5.35],(3.45-7.25],(4.65-8.05],(3.15-4.95],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(3.85-7.95],(2.5-4.55],(5.55-8.45],(4.2-5.75],(1.185-2.285],(5.095-7.41],All,(5.155-inf),(2.335-4.615],All,Stable
Morocco,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(4.2-5.75],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Mozambique,(8.25-inf),(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(5.685-inf),(5.095-7.41],All,(5.155-inf),(7.45-inf),All,Alert
Myanmar,(5.35-8.25],(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(5.35-7.15],(7.35-inf),(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(5.75-7.95],(4-5.685],(-inf-5.095],All,(5.155-inf),(7.45-inf),All,Alert
Namibia,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(1.9-4.95],(4.75-8.05],(3.85-7.95],(4.55-7.65],(2.75-5.55],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Nepal,(5.35-8.25],(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(5.35-7.15],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Netherlands,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(3.2-5.35],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Sustainable
New Zealand,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(3.2-5.35],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Sustainable
Nicaragua,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Niger,(8.25-inf),(7.25-inf),(4.65-8.05],(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(3.85-7.95],(7.65-inf),(8.45-inf),(7.95-inf),(5.685-inf),(7.41-inf),All,(5.155-inf),(4.615-7.45],All,Alert
Nigeria,(8.25-inf),(3.45-7.25],(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(5.75-7.95],(4-5.685],(-inf-5.095],All,(5.155-inf),(7.45-inf),All,Alert
North Korea,(5.35-8.25],(3.45-7.25],(4.65-8.05],(3.15-4.95],(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(7.95-inf),(7.65-inf),(5.55-8.45],(7.95-inf),(5.685-inf),(7.41-inf),All,(-inf-5.155],(7.45-inf),All,Alert
Norway,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(-inf-3.2],(-inf-1.9],(-inf-2.55],(-inf-2.15],(2.5-4.55],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Sustainable
Oman,(3.45-5.35],(-inf-3.45],(-inf-4.65],(-inf-3.15],(3.15-5.45],(3.2-5.35],(4.95-7.35],(2.55-4.75],(3.85-7.95],(4.55-7.65],(5.55-8.45],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Pakistan,(8.25-inf),(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(4.75-8.05],(7.95-inf),(7.65-inf),(8.45-inf),(7.95-inf),(4-5.685],(-inf-5.095],All,(-inf-5.155],(7.45-inf),All,Alert
Panama,(5.35-8.25],(3.45-7.25],(4.65-8.05],(3.15-4.95],(7.25-inf),(3.2-5.35],(1.9-4.95],(4.75-8.05],(3.85-7.95],(4.55-7.65],(-inf-2.75],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Stable
Papua New Guinea,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(4.95-7.35],(8.05-inf),(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Paraguay,(5.35-8.25],(-inf-3.45],(4.65-8.05],(3.15-4.95],(7.25-inf),(5.35-7.15],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(2.25-4.2],(2.285-4],(5.095-7.41],All,(-inf-5.155],(4.615-7.45],All,Warning
Peru,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(3.2-5.35],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(4.2-5.75],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Philippines,(5.35-8.25],(7.25-inf),(8.05-inf),(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(7.65-inf),(5.55-8.45],(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Poland,(3.45-5.35],(-inf-3.45],(-inf-4.65],(3.15-4.95],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(2.5-4.55],(2.75-5.55],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Portugal,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(-inf-2.5],(-inf-2.75],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Stable
Qatar,(3.45-5.35],(-inf-3.45],(4.65-8.05],(3.15-4.95],(3.15-5.45],(-inf-3.2],(4.95-7.35],(-inf-2.55],(3.85-7.95],(2.5-4.55],(2.75-5.55],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
